smiles,Conjugated Rings Count
F[Yb],0
F[Yb],0
[Yb]C1CCN([Lu])CC1,0
[O-][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1[nH]nnc1[Lu],1
[O-][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
CCC(=O)C(O)[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1nc([Lu])c[nH]1,1
[O-][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1n[nH]cc1[Lu],1
[O-][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
CC(C)([O-])[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1cn[nH]c1[Lu],1
[O-][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1cnc([Lu])[nH]1,1
[O-][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1nccn1[Lu],1
N[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1ccn([Lu])n1,1
N[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1ncc([Lu])[nH]1,1
[O-][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1nonc1[Lu],1
N[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
CC(=O)C([Yb])CC(=O)O,0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1cc([Lu])[nH]n1,1
[O-][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
O=c1nc([Yb])cn[nH]1,1
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
O=C(CO)C(O)[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
OCCC[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
CC(C)([Yb])CC(=O)[O-],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1cnn([Lu])n1,1
O[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
O=C[NH2+][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[O-]CC[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
NS(=O)(=O)[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1nc[nH]c1[Lu],1
[O-][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
O=C(O)CC(O)C[Yb],0
[Yb]c1ccccc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=C2,4
F[Yb],0
F[Yb],0
[Yb]c1onnc1[Lu],1
N[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
N#C[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1[nH]cnc1[Lu],1
[O-][Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1nnc([Lu])nn1,1
N[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]C1=NCCN1[Lu],0
O[Yb],0
F[Yb],0
[Yb]C1=[N+]2C(=Nc3c4ccccc4c([Lu])n3[B-]2([Ta])[W])c2ccccc21,4
F[Yb],0
[Yb]C1COCCN1,0
[Yb]c1ccc([Lu])cc1,1
C[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
CC(=O)C([Yb])CO,0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1ccnn1[Lu],1
[NH3+][Yb],0
[Yb]c1ccccc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
CS(=O)(=O)[Yb],0
F[Yb],0
[Yb]C1=[N+]2C(=Nc3c4ccccc4c([Lu])n3[B-]2([Ta])[W])c2ccccc21,4
F[Yb],0
[Yb]N1CCC1,0
[Yb]c1ccc([Lu])cc1,1
F[Yb],0
[Yb]c1ccccc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
O=C([O-])CC[Yb],0
[Yb]c1ccccc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
O=c1cc([Yb])[nH]cn1,1
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
O=C1C=CCN1[Yb],0
C[Yb],0
O=C1C([Lu])=C([Yb])c2cc3[nH]c([Ta])c([W])c3c(=O)n21,3
[Yb]c1[nH]cnc1[Lu],1
O=C[Yb],0
C[Yb],0
CCCCCCC[Yb],0
[Yb]c1ccccc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1ncc([Lu])o1,1
N[Yb],0
[Yb]c1ccccc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1nonc1[Lu],1
O[Yb],0
[Yb]c1ccccc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1nonc1[Lu],1
N[Yb],0
[Yb]c1ccccc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1cnn([Lu])n1,1
O[Yb],0
[Yb]c1ccccc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1n[nH]cc1[Lu],1
[O-][Yb],0
[Yb]c1ccccc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
[Yb]c1cn[nH]c1[Lu],1
[O-][Yb],0
[Yb]c1ccccc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=N2,4
F[Yb],0
F[Yb],0
